Description,,Summary Amt.,
Beginning balance as of 02/28/25,,3807.44,
Ending balance as of 04/01/25,,4119.91,
,,,
Date,Description,Amount,Running Bal.
3/1/2025,Beginning balance as of 02/28/25,3807.44,3807.44
3/1/2025,CREDIT CRD DES:EPAY ID:XXXXX37611,-3807.44,0
3/1/2025,POS PURCHASE TJ MAXX #1234 CITY ST,53.11,53.11
3/2/2025,KROGER 458 DALLAS TX,224.99,278.1
3/2/2025,SWADDLES PURCHASE,52.8,330.9
3/2/2025,POS PURCHASE JCREW 1234 CITYNAME,64.14,395.04
3/3/2025,AMAZON SEATTLE WA,246.42,641.46
3/3/2025,AMAZON SEATTLE WA,12.72,654.18
3/3/2025,CHWY*CHEWY.COM,53.65,707.83
3/3/2025,ANTHROPOLOGIE PURCHASE,136.73,844.56
3/4/2025,AMAZON SEATTLE WA,58.29,902.85
3/4/2025,AMAZON SEATTLE WA,23.12,925.97
3/4/2025,AMAZON SEATTLE WA,10.8,936.77
3/4/2025,WALGREENS #1234 CITY ST,18.7,955.47
3/9/2025,AMAZON SEATTLE WA,55.99,1011.46
3/9/2025,AMAZON SEATTLE WA,64.5,1075.96
3/9/2025,KROGER 458 DALLAS TX,199.17,1275.13
3/10/2025,AMAZON SEATTLE WA,71.76,1346.89
3/10/2025,AMAZON SEATTLE WA,17.11,1364
3/10/2025,AMAZON SEATTLE WA,55.92,1419.92
3/11/2025,AMAZON SEATTLE WA,37.03,1456.95
3/12/2025,AMAZON SEATTLE WA,105.89,1562.84
3/14/2025,AMAZON SEATTLE WA,41.78,1604.62
3/14/2025,AMAZON SEATTLE WA,104.2,1708.82
3/15/2025,AMAZON SEATTLE WA,47.44,1756.26
3/16/2025,AMAZON SEATTLE WA,259.87,2016.13
3/16/2025,SPOTIFY PREMIUM,16.99,2033.12
3/16/2025,KROGER 458 DALLAS TX,228.98,2262.1
3/16/2025,BED BATH & BEYOND #1234,10,2272.1
3/17/2025,AMAZON SEATTLE WA,119.93,2392.03
3/17/2025,MCDONALD'S POS PURCHASE,31.11,2423.14
3/17/2025,PURCHASE - EVERLANE 1234 - CITY ST,98.31,2521.45
3/17/2025,WALGREENS #1234 ANYTOWN,8.81,2530.26
3/18/2025,AMAZON SEATTLE WA,82.88,2613.14
3/18/2025,WAYFAIR.COM PURCHASE,36.73,2649.87
3/18/2025,DOORDASH*ORDER 800-123-4567 CA,16.65,2666.52
3/19/2025,AMAZON SEATTLE WA,21.03,2687.55
3/19/2025,AMAZON SEATTLE WA,49.29,2736.84
3/19/2025,CHEWY.COM PURCHASE,26.21,2763.05
3/19/2025,POS PURCHASE BEST BUY #1234 CITY ST,86.17,2849.22
3/20/2025,AMAZON SEATTLE WA,60.17,2909.39
3/20/2025,AMAZON SEATTLE WA,52.22,2961.61
3/20/2025,WAYFAIR.COM PURCHASE,27.88,2989.49
3/20/2025,LOWE'S #00974 PURCHASE,28.92,3018.41
3/21/2025,AMAZON SEATTLE WA,99.46,3117.87
3/21/2025,POS PURCHASE SWADDLES 1234 CITY ST,60.46,3178.33
3/21/2025,ZAPPOS.COM PURCHASE,80.36,3258.69
3/21/2025,POS PURCHASE CHEWY.COM 800-672-4399 FL,47.4,3306.09
3/23/2025,NEWEGG.COM PURCHASE,10,3316.09
3/24/2025,KROGER 458 DALLAS TX,269.21,3585.3
3/24/2025,MCDONALD'S 1234 CITYNAME ST,38.7,3624
3/26/2025,BARNES & NOBLE PURCHASE,24.33,3648.33
3/27/2025,AMAZON SEATTLE WA,68.1,3716.43
3/27/2025,AMAZON SEATTLE WA,89.71,3806.14
3/28/2025,NETFLIX.COM 866-716-0414,17.99,3824.13
3/29/2025,AMAZON SEATTLE WA,9.69,3833.82
3/29/2025,AMAZON SEATTLE WA,28.04,3861.86
3/29/2025,AMAZON SEATTLE WA,100.7,3962.56
3/29/2025,BED BATH & BEYOND PURCHASE,10,3972.56
3/30/2025,AMAZON SEATTLE WA,21.4,3993.96
3/30/2025,AMAZON SEATTLE WA,15.88,4009.84
3/31/2025,AMAZON SEATTLE WA,33.55,4043.39
3/31/2025,AMAZON SEATTLE WA,66.53,4109.92
3/31/2025,AMAZON SEATTLE WA,9.99,4119.91
